,importance
AGE,0.14848395025974503
PERSONAL_INCOME,0.10478119416852034
SOCSTATUS_PENS_FL,0.05871783854274481
SOCSTATUS_WORK_FL,0.041402328171603164
DEPENDANTS,0.030454210603118398
FAMILY_INCOME_свыше 50000 руб.,0.024887960959674132
GEN_TITLE_Специалист,0.02193768848830039
ORG_TP_STATE_Государственная комп./учреж.,0.02017782490582691
EDUCATION_Высшее,0.01520215841082871
EDUCATION_Среднее специальное,0.014385203817647865
GEN_TITLE_Рабочий,0.013920688191809916
MARITAL_STATUS_Состою в браке,0.01257719029110995
GEN_INDUSTRY_Торговля,0.012215451598915399
EDUCATION_Неоконченное высшее,0.012165177220882551
FAMILY_INCOME_от 10000 до 20000 руб.,0.012052370881252631
ORG_TP_STATE_Частная компания,0.011860262585385646
GENDER,0.011668262897675244
FAMILY_INCOME_от 20000 до 50000 руб.,0.01114312172607045
FACT_ADDRESS_PROVINCE_Кемеровская область,0.010243412180208767
GEN_INDUSTRY_Ресторанный бизнес/Общественное питание,0.01006934086107156
EDUCATION_Среднее,0.009600186026036288
MARITAL_STATUS_Не состоял в браке,0.009393363734634104
MARITAL_STATUS_Разведен(а),0.009080406711521983
FAMILY_INCOME_от 5000 до 10000 руб.,0.008593040669226467
FACT_ADDRESS_PROVINCE_Москва,0.008555126854393282
FACT_ADDRESS_PROVINCE_Алтайский край,0.008408149596458836
GEN_INDUSTRY_Строительство,0.008191817283506674
GEN_INDUSTRY_Другие сферы,0.007748524479829933
GEN_INDUSTRY_Наука,0.007739944091877733
ORG_TP_STATE_Индивидуальный предприниматель,0.007616149345012563
GEN_INDUSTRY_Металлургия/Промышленность/Машиностроение,0.0074605264458826905
FACT_ADDRESS_PROVINCE_Московская область,0.006647515074588216
GEN_INDUSTRY_Здравоохранение,0.00635939191628625
FACT_ADDRESS_PROVINCE_Северная Осетия,0.006328268789170255
GEN_TITLE_Руководитель среднего звена,0.006215869630321027
FACT_ADDRESS_PROVINCE_Волгоградская область,0.0060548114812513125
MARITAL_STATUS_Вдовец/Вдова,0.005970196620045067
GEN_INDUSTRY_Государственная служба,0.005936792387607993
GEN_TITLE_Руководитель высшего звена,0.005628518392380707
FACT_ADDRESS_PROVINCE_Мордовская республика,0.00559900839745436
GEN_INDUSTRY_Транспорт,0.005590298824783969
GEN_INDUSTRY_Сельское хозяйство,0.005521412550502331
MARITAL_STATUS_Гражданский брак,0.005400575735443145
GEN_TITLE_Работник сферы услуг,0.005232120330706964
FACT_ADDRESS_PROVINCE_Архангельская область,0.004944895144977306
GEN_TITLE_Служащий,0.004880256860873719
FACT_ADDRESS_PROVINCE_Курская область,0.004874332010273346
GEN_INDUSTRY_Образование,0.00486239691203874
FACT_ADDRESS_PROVINCE_Кировская область,0.004834798189130561
FACT_ADDRESS_PROVINCE_Краснодарский край,0.004791345438564236
FACT_ADDRESS_PROVINCE_Тульская область,0.004595460000015959
FACT_ADDRESS_PROVINCE_Пензенская область,0.004427406310578266
FACT_ADDRESS_PROVINCE_Красноярский край,0.0043754856702675
FACT_ADDRESS_PROVINCE_Омская область,0.0042648057257283
EDUCATION_Неполное среднее,0.0042584761279121945
FACT_ADDRESS_PROVINCE_Приморский край,0.004152689102619954
FACT_ADDRESS_PROVINCE_Воронежская область,0.004071638413100849
FACT_ADDRESS_PROVINCE_Тюменская область,0.003990231736133718
GEN_INDUSTRY_Коммунальное хоз-во/Дорожные службы,0.003981933437722146
FACT_ADDRESS_PROVINCE_Пермская область,0.003925877458572825
FACT_ADDRESS_PROVINCE_Свердловская область,0.00391699049687434
FACT_ADDRESS_PROVINCE_Кабардино-Балкария,0.0038962056929071377
GEN_TITLE_Высококвалифиц. специалист,0.00384388618392651
FACT_ADDRESS_PROVINCE_Мурманская область,0.003726969521269508
FACT_ADDRESS_PROVINCE_Иркутская область,0.0036810774312736193
FACT_ADDRESS_PROVINCE_Читинская область,0.00367631048342339
FACT_ADDRESS_PROVINCE_Татарстан,0.0036231926888409503
FACT_ADDRESS_PROVINCE_Саратовская область,0.0033085815347074225
FACT_ADDRESS_PROVINCE_Адыгея,0.0033080663549755625
FACT_ADDRESS_PROVINCE_Вологодская область,0.0032467875491174495
FACT_ADDRESS_PROVINCE_Калужская область,0.0032433298900907516
FACT_ADDRESS_PROVINCE_Ростовская область,0.003197221471715377
FACT_ADDRESS_PROVINCE_Костромская область,0.003193653118650969
FACT_ADDRESS_PROVINCE_Сахалинская область,0.003131231688875522
FACT_ADDRESS_PROVINCE_Томская область,0.003097890316373909
FACT_ADDRESS_PROVINCE_Хабаровский край,0.003032278551665793
FACT_ADDRESS_PROVINCE_Башкирия,0.002897644860264395
FACT_ADDRESS_PROVINCE_Челябинская область,0.0028618057715496777
GEN_TITLE_Другое,0.0027086295956693864
FACT_ADDRESS_PROVINCE_Ставропольский край,0.002668434886578957
GEN_INDUSTRY_Нефтегазовая промышленность,0.002637164472259615
FACT_ADDRESS_PROVINCE_Тамбовская область,0.0026114598121957655
FACT_ADDRESS_PROVINCE_Владимирская область,0.002581588302699427
FACT_ADDRESS_PROVINCE_Курганская область,0.0024794110330392995
FACT_ADDRESS_PROVINCE_Самарская область,0.0024213212438023287
ORG_TP_STATE_Некоммерческая организация,0.0023474800457307992
FACT_ADDRESS_PROVINCE_Новосибирская область,0.002311068367907719
GEN_TITLE_Индивидуальный предприниматель,0.002269838193795181
FACT_ADDRESS_PROVINCE_Ивановская область,0.0022485361828594496
FACT_ADDRESS_PROVINCE_Тверская область,0.00218023953872255
FACT_ADDRESS_PROVINCE_Коми,0.0021750890210882915
FACT_ADDRESS_PROVINCE_Ямало-Ненецкий АО,0.002167420643533552
FACT_ADDRESS_PROVINCE_Оренбургская область,0.0021630363951081694
GEN_INDUSTRY_ЧОП/Детективная д-ть,0.002117484085302774
FACT_ADDRESS_PROVINCE_Астраханская область,0.002097498947577273
GEN_INDUSTRY_Информационные услуги,0.0019912586435592828
GEN_TITLE_Руководитель низшего звена,0.0019393653698689276
FACT_ADDRESS_PROVINCE_Якутия,0.001927503090974248
FACT_ADDRESS_PROVINCE_Ленинградская область,0.0018774089987771683
GEN_INDUSTRY_Сборочные производства,0.0018392030578179752
FACT_ADDRESS_PROVINCE_Амурская область,0.0018385881422799796
GEN_INDUSTRY_Салоны красоты и здоровья,0.0018126970273293986
GEN_INDUSTRY_Энергетика,0.0017898025985136276
FACT_ADDRESS_PROVINCE_Ярославская область,0.0017875819090841995
FACT_ADDRESS_PROVINCE_Ульяновская область,0.0017492215374141282
FACT_ADDRESS_PROVINCE_Рязанская область,0.0016594354624859834
FACT_ADDRESS_PROVINCE_Ханты-Мансийский АО,0.0016358051958761913
FACT_ADDRESS_PROVINCE_Камчатская область,0.0016006522026490357
FACT_ADDRESS_PROVINCE_Бурятия,0.0015925261459444418
FACT_ADDRESS_PROVINCE_Псковская область,0.0015849653476425398
GEN_INDUSTRY_Банк/Финансы,0.001567343476031106
FACT_ADDRESS_PROVINCE_Калининградская область,0.001547714160575622
GEN_INDUSTRY_Развлечения/Искусство,0.001503226470308693
FACT_ADDRESS_PROVINCE_Еврейская АО,0.001468164081105627
FACT_ADDRESS_PROVINCE_Липецкая область,0.0014417519458837214
FACT_ADDRESS_PROVINCE_Удмуртия,0.001436649339171654
FACT_ADDRESS_PROVINCE_Брянская область,0.001412834136840421
FACT_ADDRESS_PROVINCE_Карачаево-Черкесия,0.0014077936869865378
FACT_ADDRESS_PROVINCE_Новгородская область,0.0013324023286909624
GEN_INDUSTRY_Туризм,0.0013144353158248468
FACT_ADDRESS_PROVINCE_Санкт-Петербург,0.0013007905715087906
FACT_ADDRESS_PROVINCE_Чувашия,0.001268437038341793
FACT_ADDRESS_PROVINCE_Смоленская область,0.0012502548902816142
FACT_ADDRESS_PROVINCE_Орловская область,0.001189313360289873
FACT_ADDRESS_PROVINCE_Белгородская область,0.0011607776639985991
GEN_INDUSTRY_Недвижимость,0.0010868537204383976
GEN_INDUSTRY_Информационные технологии,0.0010852457017361333
FACT_ADDRESS_PROVINCE_Горный Алтай,0.001049493958246141
FACT_ADDRESS_PROVINCE_Карелия,0.0010353594257342582
FACT_ADDRESS_PROVINCE_Нижегородская область,0.0009484480046803816
FAMILY_INCOME_до 5000 руб.,0.0008299298548304836
GEN_TITLE_Партнер,0.0007580321914986616
FACT_ADDRESS_PROVINCE_Марийская республика,0.0007380175049364871
GEN_INDUSTRY_Юридические услуги/нотариальные услуги,0.0006723673930798609
FACT_ADDRESS_PROVINCE_Хакасия,0.0006301853889558095
FACT_ADDRESS_PROVINCE_Калмыкия,0.0005652862876567984
GEN_TITLE_Военнослужащий по контракту,0.0005403395645449472
GEN_INDUSTRY_СМИ/Реклама/PR-агенства,0.0005106236485150715
ORG_TP_STATE_Частная ком. с инос. капиталом,0.0004522683282786517
GEN_INDUSTRY_Логистика,0.0004333277091429391
GEN_INDUSTRY_Управляющая компания,0.00039956238810597824
GEN_INDUSTRY_Страхование,0.0003551081285640239
GEN_INDUSTRY_Химия/Парфюмерия/Фармацевтика,0.00035312412536653645
EDUCATION_Два и более высших образования,0.000285847862363758
FACT_ADDRESS_PROVINCE_Магаданская область,0.00024174968459279324
FACT_ADDRESS_PROVINCE_Дагестан,0.00020768497242854738
FACT_ADDRESS_PROVINCE_Усть-Ордынский Бурятский АО,3.78262527352208e-05
GEN_INDUSTRY_Подбор персонала,2.4344424722081828e-05
FACT_ADDRESS_PROVINCE_Агинский Бурятский АО,1.2408448407212102e-05
GEN_INDUSTRY_Маркетинг,1.5679018539279554e-07
EDUCATION_Ученая степень,0.0
FACT_ADDRESS_PROVINCE_Эвенкийский АО,0.0
